c:\xampp\mysql\bin\mysqld.exe, Version: 10.4.28-MariaDB-log (mariadb.org binary distribution). started with:
TCP Port: 3306, Named Pipe: C:/xampp/mysql/mysql.sock
Time		    Id Command	Argument
		    66 Query	SHOW WARNINGS
		    66 Query	SHOW SESSION VARIABLES LIKE 'FOREIGN_KEY_CHECKS'
		    65 Query	SELECT `comment` FROM `phpmyadmin`.`pma__column_info` WHERE db_name = 'catmarketing' AND table_name  = '' AND column_name = '(db_comment)'
		    66 Query	SHOW TABLES FROM `catmarketing`
		    66 Query	SELECT 1 FROM (SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`COLUMN_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`TABLE_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`SCHEMA_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES`) t WHERE `IS_GRANTABLE` = 'YES' AND '''root''@''localhost''' LIKE `GRANTEE` LIMIT 1
		    66 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''localhost''' AND PRIVILEGE_TYPE='EVENT'
		    66 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''localhost''' AND PRIVILEGE_TYPE='TRIGGER'
		    66 Quit	
		    65 Quit	
241213 15:10:35	    67 Connect	root@localhost as anonymous on catmarketing
		    67 Query	SELECT * FROM register WHERE email = 'uniqueuser843@gmail.com'
		    67 Query	SELECT COUNT(*) AS count FROM compani
		    67 Query	SELECT COUNT(*) AS branch_count FROM branches
		    67 Query	SELECT COUNT(*) AS dept_count FROM departments
		    67 Quit	
241213 15:10:37	    68 Connect	root@localhost as anonymous on catmarketing
		    68 Query	SELECT * FROM register WHERE email = 'uniqueuser843@gmail.com'
		    69 Connect	root@localhost as anonymous on catmarketing
		    68 Quit	
		    69 Query	SELECT * FROM box ORDER BY box_id DESC
		    69 Query	SELECT * FROM compani WHERE comp_id= '10'
		    69 Query	SELECT * FROM branches WHERE branch_id= '4'
		    69 Query	SELECT * FROM compani WHERE comp_id= '10'
		    69 Query	SELECT * FROM branches WHERE branch_id= '4'
		    69 Query	SELECT * FROM compani WHERE comp_id= '10'
